

1467740134.925140097  Node Startup
1467740135.689116954 INFO [rosbridge_websocket:141(<module>) [topics: /rosout] Rosbridge WebSocket server started on port 9090
1467740135.785325050 INFO [rosapi_node:175(<module>) [topics: /rosout] Rosapi started
1467740175.301454067 INFO [websocket_handler.py:74(open) [topics: /rosout] Client connected.  1 clients total.
1467740175.746051073 ERROR [protocol.py:363(log) [topics: /rosout] [Client 0] [id: subscribe:test:1] subscribe: Cannot infer topic type for topic test as it is not yet advertised
1467740386.591180086 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.693322896 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.790988922 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.891781091 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.996123075 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.091886043 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.190937042 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.290838956 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.392472028 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.491767883 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.592777967 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.692039966 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.791034936 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.893959045 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740387.991246938 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.091187000 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.192183971 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.292026996 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.391616106 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.491332054 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.591419935 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.692310094 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.791035890 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.891334056 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740388.995476007 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.092103004 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.193542957 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.291729927 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.397200107 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.491734981 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.592276096 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.692502021 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.791299104 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.891316890 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740389.998183012 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.091423988 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.191833972 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.291254997 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.392352104 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.491323947 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.591444015 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.692954063 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.792532920 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.892055034 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740390.993884086 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.092649936 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.192440032 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.291970014 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.392612934 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.492733955 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.592533111 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.692293882 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.793672084 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.894253015 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740391.991328001 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.092675924 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.192372083 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.293046951 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.391556978 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.492475032 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.592346906 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.692518949 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.794964075 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.893748998 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740392.992782115 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.091584920 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.191735982 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.292290925 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.391874074 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.491880893 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.594455957 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.691586017 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.792308092 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740393.892256975 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
